id,name.0,name.1,name.2,name.3,prog.0,prog.1,prog.2,prog.3,prog.4,prog.5,prog.6,prog.7,prog.8,links.img,bio,76
11,Colin,McKinney,Dr.,,60,83,94,,,,,,,,"Dr. McKinney is an associate professor of mathematics and computer science at Wabash College. His teaching spans the galaxy, including courses in Ancient Greek mathematics, robotics, spherical trigonometry, rocketry, and of course Star Trek!",
12,Daniel,McNamara,,,110,,,,,,,,,,"K'temok owns a business making Movie, Cosplay and Movie replica props, Black Diamond Arsenal. He works with nearly any medium he can, from modern 3d printing, foam carving, resin casting to wood working and more.",
13,David,Terret,,,95,,,,,,,,,,"Dave is a 51-year-old native of Bloomington, Indiana who has been a science enthusiast since he watched the Apollo moon landing in 1969. He works as a professional Software Developer, has degrees in Chemistry and Computer Science, and as a volunteer, has been creating science activities for children for about seven years.",
14,David,Zauner,,,59,104,,,,,,,,,"Member of The Illustrious Clients of Indianapolis, a Sherlock Holmes society founded in 1946; Lieutenant Commander, Starfleet Command, on the USS Halsey; forensic scientist in Indianapolis from 1988 until 2015, 37 years in the field; adjunct instructor, IUPUI Forensic & Investigative Sciences Program; Board member and volunteer, Indiana Medical History Museum. Education: B.S. Biology, Purdue University; specialized training at FBI Academy, Quantico, VA. Interested in the history of science and speculation about its future. Read Conan Doyle, Isaac Asimov, and Agatha Christie, and watched the original Star Trek series growing up, also enjoyed The Next Generation and found the episodes with Data as Sherlock Holmes ... fascinating.",
15,Deborah,Harland,,,108,,,,,,,,,,,
16,John  ,Billingsley,,,45,96,120,121,116,117,,,,,"John Billingsley most recently recurred on Showtime’s hit series MASTERS OF SEX; AMC period drama TURN and FX drama THE BRIDGE. Prior to that, John was a Series Regular on the CBS drama, INTELLIGENCE starring opposite Josh Holloway and Marg Helgenberger.
A graduate from Bennington College in 1982, he spent fifteen years pursuing a stage career, most notably in and around Seattle, WA. In 1990, John founded a Seattle based theatre company called Book-It, which was devoted to adapting fiction for the stage and which still flourishes in the Pacific Northwest. John also helped found an acting studio in Seattle called Freehold, where he taught for seven years.
An LA resident since 1995, John was a Series Regular on STAR TREK: ENTERPRISE, THE OTHERS and THE NINE. He recurred for a number of years on Alan Ball’s HBO series TRUE BLOOD, and has had recurring roles on numerous other series, as well (PRISON BREAK, SUITS, STITCHERS, THE WHISPERS, NIKITA, NYPD BLUE etc.). He has guest starred on many TV shows (TWIN PEAKS, THE GOOD WIFE, REVENGE, SOUTHLAND, SCRUBS, NIP/TUCK, 6 FEET UNDER, THE CLOSER, THE WEST WING, NCIS, STARGATE, CSI:NY, CRIMINAL MINDS, GILMORE GIRLS, COLD CASE, etc.). Notable feature films include OUT OF TIME (in which he starred opposite Denzell Washington), HIGH CRIMES, 2012, and approximately 30 others, including indies 20TH CENTURY WOMEN, MADTOWN, TRADE OF INNOCENTS, A GREEN STORY, RED LINE, SIRONIA, and LOSING CONTROL.
On a personal note, John is a voracious reader, and he is blissfully married to the accomplished actress, Bonita Friedericy, who has appeared on stage and on screen with him on multiple occasions.
",
17,DJ,Spinsinlot,,,31,,,,,,,,,,"DJ Spinsinlot is the DJ that doesn't stop. 

From the far reaches of Heaven's Fence, mashed together in a goo of space dust and cosmic energy, comes Spinson Lot, the DJ who just won't stop. Known to boost the morale of any party (rumor has it that Spins was #1 on Ziggy Stardust's speed dial *just in case* the ol' Zigster needed a pick-me-up), Spinson has decided to descend their throne of the Mount Olympus of Cool to spread the awesome message of good vibes and sweet beats.",
18,David,Wolf,Dr.,,76,143,,,,,,,,,"As a Medical Doctor (Indiana U.), Electrical Engineer (Purdue U.), Military Officer (LTC Ret USAF ANG), and former NASA Astronaut (168 days, 4 missions, 7 Spacewalks); Dr. David Wolf now directs this multi-disciplinary background to two start-up companies in the medical field directed at resolving the constriction in the pipeline of “Pharmaceutical Molecule Discovery” and the other utilizing Regenerative Medicine techniques originally developed in NASA laboratories under his direction and which has generated several successful spinoff biotechnology companies.  Dr. Wolf was engaged in patent portfolio strategy (he has 17 U.S. Patents), technology transfer to the private sector, and now further developing the next advances as a clinical medical regenerative tissue treatment.  Dr. Wolf is a dual appointed Professor of Aeronautics and Aerospace Engineering and BioEngineering at Purdue University (visiting).  As an Astronaut, Dr. Wolf was Chief of the Astronaut Office Extravehicular Mobility Branch overseeing “spacewalk” training through real time execution for much of the construction of The International Space Station.  He is an active public speaker on risk management of critical operations in resource limited environments as well conveying the energy of our Space Program.  He is an Advisor to Vice President Mike Pence for civil, national security, and commercial “Space” and sits on the National Space Council (User’s Panel).  For more please visit www.AstronautDavidWolf.com. #WeBelieveInAstronauts",
19,Heather,Drinkwater,,,42,,,,,,,,,,Heather Drinkwater is a volunteer Solar System Ambassador,
20,Interplanet,Janet,,,87,,,,,,,,,,"Interplanet Janet really gets around! A bodacious babe from beyond, she's here to show you how to party like it's 2265!",
21,Jason,Eberl,Dr.,,33,,,,,,,,,,"Jason T. Eberl, Ph.D., is the Semler Endowed Chair for Medical Ethics and Professor of Philosophy at Marian University in Indianapolis. He teaches and publishes on bioethics, medieval philosophy, and metaphysics. He’s the editor of Battlestar Galactica and Philosophy, and co-editor of The Ultimate Star Trek and Philosophy, The Ultimate Star Wars and Philosophy, Star Trek and Philosophy, Star Wars and Philosophy, Sons of Anarchy and Philosophy, and The Philosophy of Christopher Nolan. He’s also contributed to similar books on Metallica, Stanley Kubrick, J. J. Abrams, Harry Potter, Terminator, The Hunger Games, The Big Lebowski, Hamilton, Westworld, and Avatar.",
22,Jeana,Jorgensen,Dr.,,28,,,,,,,,,,"Dr. Jeana Jorgensen has taught folklore, anthropology, and gender studies at the University of California, Berkeley; Indiana University; Butler University; and IUPUI. In addition to publishing and presenting her work in academic venues, she blogs about adult sex education and activist topics, and she performs regionally with her dance troupe Indy Tribal.",
23,Jen,Usellis,,,6,22,50,65,77,97,,,,,"Jen Usellis is jenbom, the Klingon Pop Warrior. She released the first EP of pop & rock songs translated into Klingon in 2014 and her version of Let It Go from Frozen is in the Disney Archives. Jen is a beginner Klingon speaker and geek of many fandoms.",
24,Jim,McClain,,,48,,,,,,,,,,"Jim McClain is the creator and publisher of Jim McClain's Solution Squad, a graphic novel featuring math-themed superheroes. He has been a classroom math teacher in Indiana for 30 years and was the winner of a Lilly Endowment Teacher Creativity Fellowship.",
25,John Lars,Shoberg,,,1,16,73,111,112,,,,,,"John has been a convention organizer for almost four decades, establishing two fan non-profits in the Omaha area to get things off the ground. He has been involved with convention panels as both scheduler and participant. He and his wife have organized the Opening Ceremonies for two World Science Fiction Conventions. When he is not acting as the Quadrant XO for the Phoenix Rising quadrant, you can find him defending another empire as Darth Vader with the 501st. His second novel, Time Off, will be published by Alban Lake Press this coming February.",
26,Joseph,Franklin,,,17,,,,,,,,,,"The only thing that Joseph Franklin has been for longer than he's been a magical entertainer is.. a sci-fi fan! Joseph began performing professionally in 1988, entertaining the crowds with magic and illusions, and has earned many accolades and awards from the magic community. And now, he's bringing an illusion of a different kind to his audiences.. ventriloquism! Joseph has studied and been mentored by masters of the art, and his many characters reflect his creativity and occasionally his geeky side. Joseph is excited and honored to bring his talents to Starbase Indy!",
27,Kassandra,Mariano,,,54,113,,,,,,,,,"A native of central Indiana, Kassandra Mariano has always been inspired by science fiction, science, culture, suspense, and fantasy. The enjoyment of creation through cosplay was formed due to this passion. From a very young age, Kassa loved crafting fantasy and science-fiction themed costumes to reenact or even continue the adventures of favorite characters. From the intricate Q Judge robes she stitched together at age seven (for reciting pretentious improvised poetry and being ""delightfully arrogant"") to the unique style of dozens of invented characters she's developed through the years, cosplay has always been part of Kassandra's life and a meaningful hobby, though not exclusive. In her spare time, she also writes, bakes, designs animated videos, creates experimental dolls, studies obscure texts, games, and collects marionettes with the goal of one day designing and performing with puppets professionally.",
28,Kate,Chaplin,,,7,41,,,,,,,,,"Kate Chaplin is the Executive Director of Gal's Guide to the Galaxy, an educational non profit that shines a spotlight on women of history, science, art and culture. Kate is the host of two award-winning podcasts on iTunes; Kate's Take and Your Gal Friday. Before retiring from filmmaking she won 9 awards for her films from Indiana to Los Angeles. Kate is a frequent presenter at schools, conventions, festivals and organizations about women's history and empowerment.",
29,Kathy,Peck,,,11,,,,,,,,,,"Kathy Peck has been a Star Trek fan all her life. She started going to cons and getting involved in fandom in her early 20s. Since then, she has been to an immense number of cons, both as a volunteer and as a member. She is also in several fan clubs, including the Klingon Assault Group(KAG), where she is the leader of the Imperial Xeno Legion for her quadrant. The Imperial Xeno Legion is a division of KAG devoted to aliens other than Klingons, demonstrating diversity and honor. Kathy is the Executive Officer of the KAG ship IKV Predator. She was recently awarded Warrior of the Month in KAG. She was also awarded Member of the Year of the USS Republic, a chapter of the Star Trek fan club Starfleet International. A winner of several Trek trivia contests, Kathy likes all incarnations of Star Trek. She played an elf-like humanoid in the fan film ""A Gathering Storm"" by Project Potemkin. She played an Orion dancer in another upcoming fan film by Project Potemkin.",
30,Keeley,Shoup,,,13,,,,,,,,,,"Keeley is a Hoosier currently living in Chicago. She has been attending conventions and making costumes for over 20 years. She attends DragonCon, C2E2, and Gencon in costume every year and hopes to expand to east and west coast cons in the future. She often works in found object and textile cosplay and has recently started incorporating thermoplastics and electronics. Mostly she has been fighting the good fight to bring body positivity and intersectionality to the cosplay community.",
31,Kyle,Hill,,,102,105,,,,,,,,,"Kyle Hill is a science writer and communicator who specializes in finding the secret science in your favorite fandoms. His work has appeared in Wired, The Boston Globe, Scientific American, Popular Science, Discover Magazine, and more. Hie’s Widely known as the host of The Nerdist's weekly YouTube series Because Science. He has also served as the site's science editor, and in September 2016, was named the host of the popular reality TV series Mythbusters: The Search.

He was named as one of the top 20 science communicators to follow in 2013 by WIRED Magazine. He has also appeared as a science expert on various TV news networks, including Al Jazeera and Huffington Post Live.
",
33,Maggie,Cohen,,,97,106,,,,,,,,,"Maggie's interest in costuming began when she became active in the local steampunk community. Reluctant to take up sewing, a friend convinced her to give it a try with the help of her and her mother-in-law. A few years later she became active in the local KAG ship, and that's where her love for making costumes really took off. Now much of her sewing efforts centers around creating Klingon attire. When not running around as the most fearsome species in the galaxy, Maggie works in sales support and also has an interest in Japanese alternative fashion, writing, and drinking her weight in tea.",
34,Marc,Okrand,,,40,69,,,,,,,,,"Marc Okrand is the linguist responsible for many of Star Trek’s alien languages -- most notably Klingon, but also Vulcan and Romulan. He’s consulted on most of the franchise’s movies, including on Star Trek III: The Search for Spock (1984), Star Trek V: The Final Frontier (1989), Star Trek VI: The Undiscovered Country (1991), Star Trek (2009), and Star Trek: Into Darkness (2013).
Born in 1948 in Los Angeles, CA, Marc studied Native American languages, getting his doctoral degree in 1977. He was an educator and took a post-doctoral fellowship with the Smithsonian before going to work for the National Captioning Institute, where he worked on the first closed-captioning system for hearing-impaired television viewers.
It was this work that eventually brought him into the Star Trek universe. He met a producer for Star Trek II: The Wrath of Kahn while coordinating captioning for the Oscars in 1982 and was hired to produce the Vulcan language spoken by Spock and Saavik in the movie. To do so he turned off the sound and observed the actors' lip movements as they spoke their lines in English. From these movements, he developed new vocal ""sounds"" for the actors to dub over their original English.
He went on to consult on more movies where he was called on to create Klingon based on the few samples, made up by James Doohan, in Star Trek: The Motion Picture (1979). As the need for Klingon grew so did the language. Marc went on to author three books on the Klingon language – The Klingon Dictionary (1985), The Klingon Way (1996), and Klingon for the Galactic Traveler (1997). There are also two audio courses and in 2010 he co-authored the libretto for ‘u[LDM1] ’, a Klingon opera that debuted at the Hague.
Native American languages, Marc’s specialty, have heavily influenced Klingon. He borrowed the unusual Klingon tlh [IPA: /t͡ɬ/] sound (common in North and Central American indigenous languages, in which it is usually transcribed as tl; this is the sound at the end of the word ""Nahuatl"" as the Aztecs pronounced it themselves).
Before Marc’s 2013 retirement, he also worked with producers of Disney's film Atlantis: The Lost Empire (2001) to create the Atlantean language. Since retirement he has enjoyed traveling and speaking to audiences about his experiences as a linguist and as part of the Star Trek universe.
",
35,Matt,Hoffman,,,56,,,,,,,,,,"Although primarily known as a Star Wars costumer, Matt Hofmann's love of all things Star Trek stems back just as long, after seeing ST:TMP back in 79. He grew up watching Star Trek with his dad on the weekends, and has fond memories of going to see the films with his family growing up. He still thinks one of the best things he's ever written was his review of DS9 for his high school newspaper. And while you usually see him sporting X-wing orange at cons, he supports the 1701 in his classic uniforms from time to time as well. He's also one of the frequent contributors to the ongoing show Star Trek Discourse, a web program dedicated to Star Trek: Discovery found from time to time on the Indy Pop Con Facebook group. When Matt's not playing plastic spaceman, you can find him working at a major educational publishing company in Indianapolis, or teaching in the School of Informatics at IUPUI. He's also well known as Nuvo's third most interesting person to bring to a dinner party, and that ain't all bad.",
36,Michael,Williams,,,71,,,,,,,,,,,
37,Michelle,Allen,,,5,10,20,,,,,,,,"K. Michelle Allen is a cosplayer, recently retired from a 20+ year journeyman cosplay circuit. She has appeared at multiple conventions in the midwest, as well as the south. She has won multiple Best-In-Show awards, as well as top prizes for her handmade costume work, which, includes Storm from X-Men, Lt. Uhura from Star Trek:TOS, and multiple cartoon characters. She has now retired, and spends her time educating others about adding more diversity in cosplay, as well as the art and fun of cosplay at conventions across the country.",
38,Mike,Hargett,,,34,67,,,,,,,,,"An observer and commentator on philosophy and storytelling for close to two decades, Mike Hargett of The Live Geek or Die Podcast (livegeekordiepodcast.com) applies his distinct perspective to matters of pop culture and media, asking his own flavor of questions and frequently arriving at unique conclusions.",
39,Mohamed,Noor,Dr.,,8,37,72,102,,,,,,,"Dr. Noor is a professor of biology at Duke University (currently chair of the Biology Department) and a devoted Star Trek fan since childhood. He’s given presentations on evolution and genetics as depicted in Star Trek, highlighting areas that are feasible and identifying areas that are ""a stretch"". He’s currently working on a book (commissioned under contract from Princeton University Press) on this topic, and giving presentations both at fan conventions (e.g., DragonCon) as well as to the public/ universities. In terms of scientific expertise, he’s past president of both the Society for the Study of Evolution and the American Genetic Association, and is currently editor-in-chief of the scientific research journal Evolution. He conducts studies on the genetic changes that underlie new species formation, and teaches classes on genetics and evolution (including ones free online: https://www.coursera.org/learn/genetics-evolution ).",
40,Moxie Ann,Magnus,,,21,24,39,27,,,,,,,"Moxie Anne Magnus, entertainer extraordinaire, mediocre comic and even mediocre-er ukulelist, sling-shots back in time to join you once again! But who is Moxie Anne Magnus? She is indeed a riddle, wrapped in a mystery, inside an enigma, laced up in a girdle, topped with two feet of hair and set on a pedestal of size 12, Starfleet-regulation, black, chunky-heel, platform boots! As the Chief Cosmetologist on the USS Enterprise of the twenty-third century, She keeps the crew's dos in tip-top shape. But what more do we know about this magnificent creature who has often been called ""the petite bird of the galaxy""?
 Here in the 21st century, Moxie travels throughout the US performing as the Queen of Outer Space. She’s played in clubs and theaters, and you’ve seen her at many cons up and down the eastern seaboard. When she’s not performing she is working on her weekly web comic “Tales From Salonbay” and her Youtube channel “The Moxie Pod”.
 In recent years she has perfected the art and science of sling-shotting around the sun to arrive with a precision greater than renegade Timelords, Terminators, or even mad scientists with tricked out DeLoreans. As the self-proclaimed queen of outer space she comes in peace! Her jokes will make you groan, her ukulele playing will make you moan, but her glamour will make you forget your pain!",
41,Phil,Teague,,,46,,,,,,,,,,"Teague, a graduate of Indiana University, is the Co-founder of Rectify Solar LLC. Rectify Solar is a family-owned business with more than 10 years of experience in the solar industry. The company promotes energy efficiency and sustainability through solar panel installation, electric vehicle charging stations installation and DIY solar panel kits sales.They utilize and distribute systems made by Andalay Solar.",
42,Randy,Duncan,,,82,,,,,,,,,,Retro Randy is the defined King of all things Retro from video games to Comics to pop culture. He is the host of the 7th street podcast He is the commentator for new wave pro wrestling. Randy can tell you most things about any thing retro,
43,Reba Boyd,Wooden,,,49,,,,,,,,,,"Reba Boyd Wooden is Executive Director of Center for Inquiry Indiana. She sarted Humanist Friendship Group of Central Indiana in 1999 which became Center for Inquiry Community of Indiana in 2005 and in 2007 Center for Inquiry Indiana opened on the Idiananpolois downtown canal walk. With degrees in business, education, history and counseling, she has spent he last 13 years as a high school guidance counselor. In 205 Reba retired after 37 years in Public Education.",
44,Robert,O'Reilly,,,40,100,118,119,124,125,,,,,"Robert O'Reilly's appearances on the last season of Star Trek: Deep Space Nine marked a decade of work on Star Trek. O'Reilly's introduction to Star Trek: The Next Generation was in the episode entitled ""Manhunt"" in which he portrayed the gangster ""Scarface."" He then successfully auditioned for the part of the Machiavellian Klingon leader, Gowron, for the episode, ""Reunion.""
Besides the many appearances on Star Trek: The Next Generation and Star Trek: Deep Space Nine as Gowron, Robert has participated in many Star Trek related extra-curricular activities including a Decipher VCR Interactive Board game, lithographs sold nationwide on QVC, a sci-fi Fantasy model, three action figures, life-sized, stand-up Gowron poster, and most recently, starring in the CD-ROM ""Star Trek: Klingon"" for which Robert won the Sci-Fi Universe Reader's Choice Universe Award for Best Achievement in Genre Multi-Media. In this game not only will Robert teach you how to be a Klingon, he also will teach you how to speak like one.
Robert's stage work has spanned a broad spectrum from Shakespeare (""King Lear"" and ""Hamlet"") and Sam Shepard (""True West"") to original plays (""When The Bough Breaks"") and the original production of ""The Grapes of Wrath."" He is proud to have starred in the original productions of ""The Martian Chronicles"" and ""Fahrenheit 451"" (plays written by and based on the books by Ray Bradbury, who has since become a friend).
Robert directed his play in 1981—Marsha Norman's ""Getting Out—and was promptly nominated by the Los Angeles Drama Circle for Best Director of the Year, the most prestigious award given to a Los Angeles theater director. Since then he has won or been nominated for every other major directing award the Los Angeles area has to offer. His original production of ""Generations"" by Dennis Clontz received National Honors as a runner-up to August Wilson's ""Piano Lesson"" for the best play produced outside of New York City.
In spite of his busy schedule, Robert continues, each year, to direct one play and act in at least one theater production. He is a member and Artistic Advisor at the Colony Studio Theater Playhouse, a repertory company in Los Angeles that boasts a 90% subscription rate. Recently, he directed the ""Mornings At Seven,"" and acted in ""Fool For Love"" by Sam Shepard.
Robert has appeared in over 100 films, made-for-TV movies, and television episodes. His most recent projects include the soon-to-be released films ""Moonbase,"" in which he stars as the evil convict Stark, and ""Good Luck,"" starring Gregory Hines. He has also appeared in the ""The Mask"" starring Jim Carrey, as well as ten other feature films. Mini-series and movie-of-the-week appearances include ""Desperado: Badlands Justice,"" ""World War III,"" ""From Here To Eternity"" and ""By The Dawn's Early Light."" Television series include NYPD Blue and two seasons on In the Heat of the Night and Dark Justice. Other episodic television credits include such series as Murder, She Wrote (2 appearances), Dallas (2 appearances), Hunter, Falcon Crest, The Flash, Hill Street Blues, Max Headroom, The Equalizer, Sledgehammer, Paradise, Jake and the Fatman, MacGyver, and many more. Robert generally portrays villains or antagonists and is particularly expert in the use of a variety of dialects and accents.
Robert resides with his wife in Los Angeles. During his infrequent times of rest and recreation, you may find him playing a round of golf, attending an enjoyable game of baseball, or watching a good film or television show, particularly if it's set in the Star Trek universe.
Robert's wife gave birth on January 1, 1997 at 12:01a.m., 12:03a.m., and 12:04a.m. to Jack, Joseph, and Michael—their three sons.
",
45,Rose,Ciccarone,,,62,,,,,,,,,,,
46,Rufus,Cochran,,,58,66,74,98,115,,,,,,"Creator of the combat robotics team ""denkbots"" and founder of the Indiana Science Communication and Education Foundation, Rufus Cochran is a computer engineer and native Hoosier with a passion for science and technology. Working in mechatronics and automated systems across industries throughout his professional career, Rufus works to share his love of robotics and technology with everyone he meets! He has mentored in the FIRST (For Inspiration and Recognition of Science and Technology) Robotics Competition and other STEM programs for high school students for over a decade, with the hopes of inspiring the next generation to use these technologies to help solve our societies greatest challenges.",
48,Sarah,Gillard,,,9,19,38,53,107,,,,,,"Sarah Gillard comes to us from Ancilla College, where she teaches the Sciences. Sarah currently teaches Anatomy and Physiology, and has also recently taught Microbiology and Animal Science courses as well. Gillard holds multiple degrees in Science, Education and Agriculture from Purdue University, and is currently working towards a PhD in the Philosophy of Education. While at Purdue University, Gillard taught Educational Psychology and Art Appreciation. Gillard is also a published author, with manuscripts in several educational journals and monthly publications. When not teaching or researching, Gillard enjoys a quiet life with her husband and daughter on their homestead, surrounded by their animals.",
50,Shannon,Eichorn,,,25,68,44,52,,,,,,,"Shannon Eichorn got her BSE in Aerospace and Mechanical Engineering (from Case Western Reserve University) because her dad told her she needed a day job to write scifi novels. She decided to be Sam Carter (who really was an engineer, obviously) and found a place in the world of wind tunnel (and other aerospace) testing. Her first novel is under contract with a small publisher.",
51,Skip,Engle,,,78,,,,,,,,,,"Skip started brewing over 20 years ago when he joined the SCA. This medieval re-enactment group began his adventures in brewing with the popular Viking beverage mead. Skip quickly transitioned to beers and later ciders, choosing styles and flavors that reflected what he and his friends loved to drink. Since then he has explored dozens of different styles and brewed hundreds of different beers and ciders. He spent many years as the brewmaster for Barfleet’s UBS Casual in Cleveland brewing beer for dozens of parties and conventions. His cider has often been available at Indecent parties as it is a favorite of Captain Lucy and many others. By day Skip is an apprentice Electrician at Ford Motor Company where he has worked for 25 years.",
52,Thomas,Wysocki,,,75,,,,,,,,,,,
53,Tony,Troxell,,,63,,,,,,,,,,"Tony Troxell is the local blogger and podcaster in charge of ""Geeking in Indiana"", a blog that showcases items he feels would be of interest to Hoosier Geeks. This has gained him a certain measure of fame over the last few years, having been interviewed by the Indy Star for various articles about Hoosier Geeks, garnering a ""Top Three"" placing in Nuvo's Best of Indy competition in the ""Best local Twitter feed"" category for the past three years, and being asked to sit in on panels at local conventions, like this one! He grew up with Star Wars (born two days before the premier of the first film), but really embraced his inner Geek during the Star Trek 25th Anniversary in 1991, and since that time has worked in various Geeky fields like video game stores, comic book shops, Hollywood practical fx, and driving a submarine looking for Nemo at Disneyland. He is incredibly honored and excited to help out with this year's show, talking the first half of Star Trek Discovery!",
54,Troy,Maynard,,,85,,,,,,,,,,"Troy Maynard is a giant Viking, foodie, geeky gamer, father of three and master of none. Between frequent photographs of meals and occasional pillaging (alleged), he writes his thoughts on life from his Mead Hall in the rolling hills of southern Indiana. Ransacking passing ships doesn't pay the bills, so he also works in the software industry, where he gets to use his tantrum management skills on a daily basis.You can read more of his stories and thoughts on parenting on his blog, veryvocalviking.com, and in his column My Dad Voice in Limestone Post Magazine, limestonepostmagazine.com/author/troymaynard.",
55,Walter,Robinson,Dr.,,33,,,,,,,,,,Dr. Walter Robinson is an adjunct faculty member of the philosophy department at IUPUI where he teaches Buddhist Philosophy. He works in hospice care and is a member of both the Indianapolis Zen Center (IZC) and the Tibetan Cultural Center (TCC).,
56,Blue Moon Comics,,,,23,81,35,,,,,,,,"Originally named BlueMoon Comics, the business opened in 1991. After a few changes in ownership, it was renamed BlueMoon Comics Strikes Back. Now at it's current location of 20 1/2 South 16th Street, it is owned by Joe Fickle and Geoff Perry. After being long time customers, Joe and Geoff purchased the store.  From the mainstream titles to independent books, they have strived to make it have Lafayette's best selection of comics.

The store has strived to offer a selection of everything comic-related, from trade-paperbacks, toys, statues, DVDs, and other assorted merchandise. Blue Moon Comics Strikes Back offers customers a subscription service and are prepared to search for hard-to-find books. Blue Moon Comics Strikes Back desires to offer the best service possible and an atmosphere that is inviting to the casual shopper as well as their dedicated customer.

Feel free to come in, browse, hang-out, and talk comics, in a place where you feel like a friend, not just a consumer. With your support, Blue Moon Comics Strikes Back can serve your needs for many years as:

""Lafayette's Favorite Comic Book Store""",
